Formulario Coleta;2017-08-03 20:05:45 UTC;em andamento;2017-08-07 18:43:44 UTC;aguardando deploy;340679.30099987984;3.00;Nova Funcionalidade,BEEPWEB,BEEP-SERVER;32
Voucher como Microserviço;2017-07-14 17:51:20 UTC;comprometido;2017-07-28 15:33:47 UTC;aguardando deploy;1201346.7679998875;13.00;Technical Side,G;30
Criar call de coleta através do B2B;2017-08-07 18:58:53 UTC;comprometido;2017-08-14 13:39:57 UTC;aguardando deploy;585664.1669998169;6.00;B2B,Nova Funcionalidade;33
Horário de clinica de vacina e turnos customizados;2017-08-10 15:43:23 UTC;comprometido;2017-08-14 21:09:11 UTC;aguardando deploy;365148.3890001774;4.00;BEEP ADMIN;33
Horário de clinica de vacina e turnos customizados;2017-08-14 14:07:08 UTC;em andamento;2017-08-14 21:09:17 UTC;aguardando deploy;25329.75600004196;0.00;BEEP-SERVER;33
